month,gmv,n_orders,trailing_3mo_avg_gmv,pct_above_trailing_avg,is_seasonal_spike
2017-04-01,405848.61,2377,282041.0366666667,43.8970069024589,True
2017-05-01,582710.83,3640,371676.08666666667,56.77920934488242,True
2017-06-01,499652.24,3205,471392.4666666666,5.994956502628322,False
2017-07-01,578753.73,3946,496070.56,16.66762284784648,False
2017-08-01,661903.52,4272,553705.6,19.540694549594594,False
2017-09-01,717102.72,4227,580103.1633333333,23.616412618654394,False
2017-10-01,764756.03,4547,652586.6566666666,17.188425810953742,False
2017-11-01,1172191.68,7423,714587.4233333333,64.03754694311323,True
2017-12-01,861526.77,5620,884683.4766666666,-2.617513187192892,False
2018-01-01,1101920.01,7187,932824.8266666667,18.127217297332656,False
2018-02-01,979486.16,6625,1045212.82,-6.288351878424139,False
2018-03-01,1152656.99,7168,980977.6466666666,17.50084152444195,False
2018-04-01,1156248.89,6919,1078021.0533333335,7.2566149264691315,False
2018-05-01,1145686.46,6833,1096130.68,4.520973721855868,False
2018-06-01,1020381.9,6145,1151530.78,-11.389090268173291,False
2018-07-01,1039783.58,6233,1107439.0833333333,-6.109185087607149,False
2018-08-01,996973.51,6421,1068617.3133333335,-6.70434611524824,False
