segment,n_customers,recency_days,frequency,monetary,avg_order_value,avg_review_score,avg_delivery_delay_days,pct_late,avg_freight_ratio,avg_installments,n_categories,pct_customers,pct_revenue,pct_repeat
Budget Satisfied,41814,246.4277753862343,1.0089922035681829,64.70734084277993,64.20764349261013,4.333979050078921,-12.513552434840404,0.025111206772851197,0.2859133340546162,1.781687951403836,1.0,45.08442412610786,17.67452707798069,0.8992203568182906
At-Risk: Late & Unhappy,7319,220.31766634786172,1.0114769777291979,172.78418499795055,171.18148722503074,2.5506216696269983,9.459263398504905,99.66525481623172,0.21183132017989872,2.9840825249351006,1.0013663068725236,7.891445453173183,8.260917222173713,1.1476977729197977
Loyal Repeat Customers,2347,213.43289305496378,1.8547081380485726,298.07502343417127,176.25092328605922,3.8828835866117504,-12.996356049378333,5.27995888029974,0.2198064047238402,3.6761155747627843,2.0451640391989776,2.5305673560045716,4.56994749872469,71.45291861951428
Core High-Value,41266,245.90541850433772,1.0178355062278874,257.8019526971357,254.21578502883733,4.268623079532787,-13.401842988707187,0.06179421315368584,0.12931012158526667,4.0042892453836085,1.0,44.49356306471438,69.49460820112091,1.7835506227887366
